Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
drive,5,trait (generic term),,,,,,
drive,5,driving,golf stroke (generic term),golf shot (generic term),swing (generic term),,,
drive,5,transportation (generic term),transfer (generic term),transferral (generic term),conveyance (generic term),,,
drive,5,ride,journey (generic term),journeying (generic term),,,,
drive,5,physiological state (generic term),physiological condition (generic term),,,,,
drive,5,device (generic term),,,,,,
drive,5,parkway,road (generic term),route (generic term),,,,
drive,5,return (generic term),,,,,,
drive,5,operate (generic term),control (generic term),,,,,
drive,5,motor,travel (generic term),go (generic term),move (generic term),locomote (generic term),,
drive,5,move (generic term),displace (generic term),drive out (related term),drive out (related term),drive off (related term),drive away (related term),
drive,5,force,ram,thrust (generic term),ram down (related term),drive in (related term),,
drive,5,coerce (generic term),hale (generic term),squeeze (generic term),pressure (generic term),force (generic term),,
drive,5,repel,repulse,force back,push back,beat back,push (generic term),force (generic term)
drive,5,make (generic term),,,,,,
drive,5,propel (generic term),impel (generic term),,,,,
drive,5,throw (generic term),,,,,,
drive,5,tug,labor,labour,push,fight (generic term),struggle (generic term),push on (related term)
drive,5,get,aim,mean (generic term),intend (generic term),,,
drive,5,ride,,,,,,
drive,5,work (generic term),do work (generic term),,,,,
drive,5,drive (generic term),travel (generic term),go (generic term),move (generic term),locomote (generic term),,
drive,5,push (generic term),force (generic term),,,,,
drive,5,take,traverse (generic term),track (generic term),cover (generic term),cross (generic term),pass over (generic term),get over (generic term)
drive,5,hit (generic term),,,,,,
drive,5,hit (generic term),,,,,,
drive,5,excavate (generic term),dig (generic term),hollow (generic term),,,,
drive,5,power (generic term),,,,,,
drive,5,hunt (generic term),run (generic term),hunt down (generic term),track down (generic term),,,
drive,5,hunt (generic term),run (generic term),hunt down (generic term),track down (generic term),,,
droll,5,humorous (similar term),humourous (similar term),,,,,
drome,5,airport,airdrome,aerodrome,airfield (generic term),landing field (generic term),flying field (generic term),field (generic term)
drone,5,bee (generic term),,,,,,
drone,5,monotone,droning,intonation (generic term),modulation (generic term),pitch contour (generic term),,
drone,5,dawdler,laggard,lagger,trailer,poke,idler (generic term),loafer (generic term)
drone,5,pilotless aircraft,radio-controlled aircraft,heavier-than-air craft (generic term),,,,
drone,5,drone pipe,bourdon,pipe (generic term),tabor pipe (generic term),,,
drone,5,sound (generic term),go (generic term),,,,,
drone,5,drone on,talk (generic term),speak (generic term),utter (generic term),mouth (generic term),verbalize (generic term),verbalise (generic term)
drool,5,baloney,boloney,bilgewater,bosh,humbug,taradiddle,tarradiddle
drool,5,dribble,drivel,slobber,saliva (generic term),spit (generic term),spittle (generic term),
drool,5,salivate,covet (generic term),,,,,
drool,5,drivel,slabber,slaver,slobber,dribble,salivate (generic term),slobber over (related term)
droop,5,sag,depression (generic term),impression (generic term),imprint (generic term),,,
droop,5,sag,swag,flag,sink (generic term),drop (generic term),drop down (generic term),
droop,5,loll,dangle (generic term),swing (generic term),drop (generic term),,,
droop,5,wilt,decay (generic term),crumble (generic term),delapidate (generic term),,,
dross,5,impurity,waste (generic term),waste material (generic term),waste matter (generic term),waste product (generic term),,
dross,5,slag,scoria,scum (generic term),,,,
drove,5,animal group (generic term),,,,,,
drove,5,horde,swarm,crowd (generic term),,,,
drove,5,drove chisel,chisel (generic term),,,,,
drown,5,submerge,overwhelm,cover (generic term),spread over (generic term),drown out (related term),,
drown,5,eliminate (generic term),get rid of (generic term),do away with (generic term),,,,
drown,5,die (generic term),decease (generic term),perish (generic term),go (generic term),exit (generic term),pass away (generic term),expire (generic term)
drown,5,kill (generic term),,,,,,
druid,5,Druid,priest (generic term),non-Christian priest (generic term),,,,
drunk,5,intoxicated,inebriated,bacchanalian (similar term),bacchanal (similar term),bacchic (similar term),carousing (similar term),orgiastic (similar term)
drunk,5,intoxicated,excited (similar term),,,,,
drunk,5,drunkard,rummy,sot,inebriate,wino,drinker (generic term),imbiber (generic term)
drunk,5,drinker (generic term),imbiber (generic term),toper (generic term),juicer (generic term),,,
drupe,5,stone fruit,fruit (generic term),,,,,
druse,5,Druze,Druse,disciple (generic term),adherent (generic term),,,
druze,5,Druze,Druse,disciple (generic term),adherent (generic term),,,
dryad,5,wood nymph,nymph (generic term),,,,,
dryas,5,Dryas,genus Dryas,rosid dicot genus (generic term),,,,
dryer,5,drier,appliance (generic term),,,,,
dryly,5,laconically,drily,,,,,
dubai,5,Dubai,city (generic term),metropolis (generic term),urban center (generic term),port (generic term),,
dubya,5,Bush,George Bush,George W. Bush,George Walker Bush,President Bush,President George W. Bush,Dubyuh
ducal,5,Lord,noble,nobleman (related term),,,,
ducat,5,coin (generic term),,,,,,
duchy,5,dukedom,domain (generic term),demesne (generic term),land (generic term),,,
ducky,5,darling,favorite,favourite,pet,dearie,deary,lover (generic term)
dukas,5,Dukas,Paul Dukas,composer (generic term),,,,
dulse,5,Rhodymenia palmata,red algae (generic term),,,,,
dumas,5,Dumas,Alexandre Dumas,writer (generic term),author (generic term),,,
dummy,5,artificial (similar term),unreal (similar term),,,,,
dummy,5,silent person,mute (generic term),deaf-mute (generic term),deaf-and-dumb person (generic term),,,
dummy,5,dumbbell,dope,boob,booby,pinhead,simpleton (generic term),simple (generic term)
dummy,5,figure (generic term),,,,,,
dummy,5,blank,blank shell,cartridge (generic term),,,,
dummy,5,dummy up,produce (generic term),make (generic term),create (generic term),,,
dumps,5,mopes,low spirits (generic term),,,,,
dumpy,5,site,land site (related term),,,,,
dumpy,5,chunky,low-set,squat,squatty,stumpy,short (similar term),
dumpy,5,podgy,pudgy,tubby,roly-poly,fat (similar term),,
dunce,5,dunderhead,numskull,blockhead,bonehead,lunkhead,hammerhead,knucklehead
duomo,5,cathedral,church (generic term),church building (generic term),,,,
duple,5,double,dual,multiple (similar term),,,,
dural,5,meninx,meninges (related term),,,,,
durer,5,Durer,Albrecht Durer,old master (generic term),engraver (generic term),,,
durga,5,Durga,Hindu deity (generic term),,,,,
durio,5,Durio,genus Durio,dilleniid dicot genus (generic term),,,,
durra,5,doura,dourah,Egyptian corn,Indian millet,Guinea corn,grain sorghum (generic term),
durum,5,durum wheat,hard wheat,Triticum durum,Triticum turgidum,macaroni wheat,wheat (generic term),
dusky,5,twilight,twilit,dark (similar term),,,,
dusky,5,dark-skinned,swart,swarthy,brunet (similar term),brunette (similar term),,
dusty,5,dust-covered,dirty (similar term),soiled (similar term),unclean (similar term),,,
dusty,5,stale,moth-eaten,unoriginal (similar term),,,,
dutch,5,Dutch,European country,European nation (related term),,,,
dutch,5,Dutch,Dutch people,nation (generic term),land (generic term),country (generic term),,
dutch,5,Dutch,West Germanic (generic term),West Germanic language (generic term),,,,
duvet,5,eiderdown,continental quilt,quilt (generic term),comforter (generic term),puff (generic term),,
dwarf,5,midget,nanus,small person (generic term),,,,
dwarf,5,gnome,fairy (generic term),faery (generic term),faerie (generic term),fay (generic term),sprite (generic term),
dwarf,5,shadow,overshadow,dominate (generic term),command (generic term),overlook (generic term),overtop (generic term),
dwarf,5,stunt (generic term),,,,,,
dweeb,5,swot,grind,nerd,wonk,learner (generic term),scholar (generic term),assimilator (generic term)
dwell,5,brood,worry (generic term),care (generic term),dwell on (related term),,,
dwell,5,consist,lie,belong,lie in,exist (generic term),be (generic term),
dwell,5,live,inhabit,be (generic term),live in (related term),live out (related term),,
dwell,5,harp,repeat (generic term),reiterate (generic term),ingeminate (generic term),iterate (generic term),restate (generic term),retell (generic term)
dyaus,5,Dyaus,Dyaus-pitar,Hindu deity (generic term),,,,
dying,5,moribund (similar term),last (similar term),nascent (antonym),,,,
dying,5,anxious,eager (similar term),,,,,
dying,5,death,demise,end (generic term),ending (generic term),birth (antonym),,
dylan,5,Dylan,Bob Dylan,songwriter (generic term),songster (generic term),ballad maker (generic term),singer (generic term),vocalist (generic term)
dylan,5,Dylan,Celtic deity (generic term),,,,,
eager,5,anxious (similar term),dying (similar term),hot (similar term),impatient (similar term),raring (similar term),overeager (similar term),uneager (antonym)
eager,5,avid,great,zealous,enthusiastic (similar term),,,
eager,5,tidal bore,bore,eagre,aegir,tidal flow (generic term),tidal current (generic term),
eagle,5,bird of Jove,bird of prey (generic term),raptor (generic term),raptorial bird (generic term),,,
eagle,5,score (generic term),,,,,,
eagle,5,coin (generic term),,,,,,
eagle,5,emblem (generic term),allegory (generic term),,,,,
eagle,5,score (generic term),hit (generic term),tally (generic term),rack up (generic term),,,
eagre,5,tidal bore,bore,aegir,eager,tidal flow (generic term),tidal current (generic term),
eames,5,Eames,Charles Eames,interior designer (generic term),designer (generic term),interior decorator (generic term),house decorator (generic term),room decorator (generic term)
eared,5,dog-eared,worn (similar term),,,,,
eared,5,auriculate (similar term),auriculated (similar term),lop-eared (similar term),mouse-eared (similar term),short-eared (similar term),small-eared (similar term),earless (antonym)
early,5,aboriginal (similar term),primal (similar term),primeval (similar term),primaeval (similar term),primordial (similar term),advance (similar term),beforehand (similar term)
early,5,archaic (similar term),primitive (similar term),new (similar term),young (similar term),crude (similar term),primitive (similar term),rude (similar term)
early,5,former,other,past (similar term),,,,
early,5,young (similar term),immature (similar term),,,,,
early,5,Old (similar term),middle (antonym),late (antonym),,,,
early,5,future (similar term),,,,,,
early,5,early on,,,,,,
early,5,ahead of time,too soon,late (antonym),,,,
early,5,betimes,,,,,,
earth,5,Earth,world,globe,terrestrial planet (generic term),,,
earth,5,ground,material (generic term),stuff (generic term),,,,
earth,5,land,dry land,ground,solid ground,terra firma,object (generic term),physical object (generic term)
earth,5,Earth,location (generic term),,,,,
earth,5,element (generic term),,,,,,
earth,5,worldly concern,earthly concern,world,concern (generic term),,,
earth,5,ground,connection (generic term),connexion (generic term),connector (generic term),connecter (generic term),connective (generic term),
earth,5,hide (generic term),hide out (generic term),,,,,
earth,5,ground (generic term),,,,,,
eased,5,alleviated,relieved,mitigated (similar term),,,,
easel,5,tripod (generic term),,,,,,
eater,5,feeder,consumer (generic term),,,,,
eater,5,produce (generic term),green goods (generic term),green groceries (generic term),garden truck (generic term),,,
eaves,5,overhang (generic term),,,,,,
eblis,5,genie (generic term),jinni (generic term),jinnee (generic term),djinni (generic term),djinny (generic term),,
ebola,5,Ebola hemorrhagic fever,Ebola fever,Ebola,hemorrhagic fever (generic term),haemorrhagic fever (generic term),viral hemorrhagic fever (generic term),viral haemorrhagic fever (generic term)
ebony,5,ebon,achromatic (similar term),,,,,
ebony,5,coal black,jet black,pitch black,sable,soot black,black (generic term),blackness (generic term)
ebony,5,wood (generic term),,,,,,
ebony,5,ebony tree,Diospyros ebenum,tree (generic term),,,,
eclat,5,acclaim,acclamation,plaudits,plaudit,approval (generic term),commendation (generic term),
eclat,5,pomp,elegance (generic term),,,,,
eclat,5,magnificence (generic term),brilliance (generic term),splendor (generic term),splendour (generic term),grandeur (generic term),grandness (generic term),
edema,5,oedema,hydrops,dropsy,swelling (generic term),puffiness (generic term),lump (generic term),
edgar,5,Edgar,King of England (generic term),King of Great Britain (generic term),,,,
edged,5,bordered (similar term),,,,,,
edged,5,cutting,stinging,unkind (similar term),,,,
edged,5,sharp (similar term),,,,,,
edger,5,needleworker (generic term),,,,,,
edger,5,garden tool (generic term),lawn tool (generic term),,,,,
edict,5,announcement (generic term),proclamation (generic term),annunciation (generic term),declaration (generic term),,,
edict,5,decree,fiat,order,rescript,act (generic term),enactment (generic term),
edify,5,enlighten,teach (generic term),learn (generic term),instruct (generic term),,,
educe,5,evoke,elicit,extract,draw out,interpret (generic term),construe (generic term),see (generic term)
educe,5,derive,make (generic term),create (generic term),,,,
edwin,5,Edwin,king (generic term),male monarch (generic term),Rex (generic term),,,
eelam,5,Eelam,Tamil Eelam,state (generic term),nation (generic term),country (generic term),land (generic term),commonwealth (generic term)
eerie,5,supernatural (similar term),,,,,,
eerie,5,eery,strange (similar term),unusual (similar term),,,,
egest,5,excrete,eliminate,pass,discharge (generic term),expel (generic term),eject (generic term),release (generic term)
eggar,5,egger,lasiocampid (generic term),lasiocampid moth (generic term),,,,
egger,5,eggar,lasiocampid (generic term),lasiocampid moth (generic term),,,,
egret,5,heron (generic term),,,,,,
egypt,5,Egypt,Arab Republic of Egypt,United Arab Republic,African country (generic term),African nation (generic term),,
egypt,5,Egyptian Empire,Egypt,empire (generic term),imperium (generic term),,,
eider,5,eider duck,sea duck (generic term),,,,,
eidos,5,attribute (generic term),,,,,,
eigen,5,Eigen,Manfred Eigen,chemist (generic term),,,,
eight,5,8,viii,cardinal (similar term),,,,
eight,5,8,VIII,eighter,eighter from Decatur,octad,ogdoad,octonary
eight,5,Ashcan School,Eight,school (generic term),artistic movement (generic term),art movement (generic term),,
eject,5,expel,chuck out,exclude,throw out,kick out,turf out,boot out
eject,5,discharge,expel,release,,,,
eject,5,exit (generic term),go out (generic term),get out (generic term),leave (generic term),,,
eject,5,squirt,force out,squeeze out,discharge (generic term),,,
ekman,5,Ekman,Vagn Walfrid Ekman,oceanographer (generic term),,,,
eland,5,antelope (generic term),,,,,,
elate,5,lift up,uplift,pick up,intoxicate,stimulate (generic term),shake (generic term),shake up (generic term)
elbow,5,elbow joint,human elbow,cubitus,cubital joint,articulatio cubiti,hinge joint (generic term),ginglymus (generic term)
elbow,5,bend (generic term),curve (generic term),,,,,
elbow,5,pipe (generic term),pipage (generic term),piping (generic term),,,,
elbow,5,cloth covering (generic term),,,,,,
elbow,5,joint (generic term),articulation (generic term),articulatio (generic term),,,,
elbow,5,jostle (generic term),shove (generic term),,,,,
elbow,5,nudge (generic term),poke at (generic term),prod (generic term),,,,
elder,5,older,sr.,senior (similar term),,,,
elder,5,senior,adult (generic term),grownup (generic term),,,,
elder,5,elderberry bush,shrub (generic term),bush (generic term),,,,
elder,5,church officer (generic term),,,,,,
elect,5,elite,selected (similar term),,,,,
elect,5,incoming (similar term),,,,,,
elect,5,chosen,elite (generic term),elite group (generic term),,,,
elect,5,choose (generic term),take (generic term),select (generic term),pick out (generic term),,,
elect,5,choose (generic term),take (generic term),select (generic term),pick out (generic term),,,
elegy,5,lament,poem (generic term),verse form (generic term),,,,
elemi,5,gum elemi,gum resin (generic term),,,,,
elfin,5,fey,supernatural (similar term),,,,,
elfin,5,elflike,small (similar term),little (similar term),,,,
elfin,5,fairy,faery,faerie,fay,sprite (related term),,
elfin,5,elfish,elvish,playful (similar term),,,,
elgar,5,Elgar,Sir Edward Elgar,Sir Edward William Elgar,composer (generic term),,,
elide,5,exclude (generic term),except (generic term),leave out (generic term),leave off (generic term),omit (generic term),take out (generic term),
elint,5,electronics intelligence,ELINT,signals intelligence (generic term),SIGINT (generic term),,,
eliot,5,Eliot,T. S. Eliot,Thomas Stearns Eliot,poet (generic term),dramatist (generic term),playwright (generic term),
eliot,5,Eliot,George Eliot,Mary Ann Evans,writer (generic term),author (generic term),,
elisa,5,enzyme-linked-immunosorbent serologic assay,ELISA,assay (generic term),,,,
elite,5,elect,selected (similar term),,,,,
elite,5,elite group,upper class (generic term),upper crust (generic term),,,,
ellas,5,Greece,Hellenic Republic,Ellas,Balkan country (generic term),Balkan nation (generic term),Balkan state (generic term),
ellul,5,Elul,Ellul,Jewish calendar month (generic term),,,,
elope,5,run off,flee (generic term),fly (generic term),take flight (generic term),,,
elops,5,Elops,genus Elops,fish genus (generic term),,,,
elude,5,evade,bilk,escape (generic term),get away (generic term),break loose (generic term),,
elude,5,escape,perplex (generic term),vex (generic term),stick (generic term),get (generic term),puzzle (generic term),mystify (generic term)
elude,5,hedge,fudge,evade,put off,circumvent,parry,skirt
elute,5,wash (generic term),rinse (generic term),,,,,
elver,5,eel (generic term),,,,,,
elver,5,eel (generic term),,,,,,
elves,5,atmospheric electricity (generic term),,,,,,
elvis,5,acid,back breaker,battery-acid,dose,dot,Elvis,loony toons
email,5,electronic mail,e-mail,electronic communication (generic term),snail mail (antonym),snail mail (antonym),snail mail (antonym),
email,5,e-mail,netmail,telecommunicate (generic term),,,,
embed,5,implant,engraft,imbed,plant,insert (generic term),infix (generic term),enter (generic term)
embed,5,group (generic term),aggroup (generic term),,,,,
ember,5,coal,fragment (generic term),,,,,
emcee,5,master of ceremonies,host,entertainer (generic term),,,,
emcee,5,compere,host (generic term),,,,,
emeer,5,emir,amir,ameer,ruler (generic term),swayer (generic term),,
emend,5,better (generic term),improve (generic term),amend (generic term),ameliorate (generic term),meliorate (generic term),,
emery,5,mineral (generic term),,,,,,
emile,5,Emile,fictional character (generic term),fictitious character (generic term),character (generic term),,,
emmer,5,starch wheat,two-grain spelt,Triticum dicoccum,wheat (generic term),,,
emmet,5,ant,pismire,hymenopterous insect (generic term),hymenopteran (generic term),hymenopteron (generic term),hymenopter (generic term),
emote,5,act (generic term),play (generic term),represent (generic term),,,,
empty,5,bare (similar term),stripped (similar term),barren (similar term),destitute (similar term),devoid (similar term),innocent (similar term),blank (similar term)
empty,5,hollow,vacuous,meaningless (similar term),nonmeaningful (similar term),,,
empty,5,hollow (similar term),,,,,,
empty,5,empty-bellied,hungry (similar term),,,,,
empty,5,drained (similar term),,,,,,
empty,5,container (generic term),,,,,,
empty,5,change (generic term),alter (generic term),modify (generic term),fill (antonym),,,
empty,5,discharge,change state (generic term),turn (generic term),fill (antonym),,,
empty,5,vacate,abandon,leave (generic term),go forth (generic term),go away (generic term),,
empty,5,remove (generic term),take (generic term),take away (generic term),withdraw (generic term),,,
empty,5,evacuate,void,excrete (generic term),egest (generic term),eliminate (generic term),pass (generic term),
enact,5,ordain,decree (generic term),,,,,
enact,5,reenact,act out,act (generic term),play (generic term),represent (generic term),,
enate,5,enatic,maternal,related (similar term),,,,
enate,5,matrikin,matrilineal kin,matrisib,matrilineal sib,relative (generic term),relation (generic term),
ended,5,complete,concluded,over,all over,terminated,finished (similar term),
endow,5,indue,gift,empower,invest,endue,enable (generic term),
endow,5,dower,give (generic term),gift (generic term),present (generic term),,,
endue,5,endow,indue,gift,empower,invest,enable (generic term),
enema,5,clyster,irrigation (generic term),,,,,
enemy,5,military unit (generic term),military force (generic term),military group (generic term),force (generic term),,,
enemy,5,foe,foeman,opposition,adversary (generic term),antagonist (generic term),opponent (generic term),opposer (generic term)
enemy,5,people (generic term),,,,,,
enemy,5,foe,rival (generic term),challenger (generic term),competitor (generic term),competition (generic term),contender (generic term),friend (antonym)
enets,5,Enets,Entsi,Entsy,Yenisei,Yenisei-Samoyed,Yeniseian,Samoyedic (generic term)
enjoy,5,bask,relish,savor,savour,,,
enjoy,5,use (generic term),utilize (generic term),utilise (generic term),apply (generic term),employ (generic term),,
enjoy,5,love,like (generic term),,,,,
enjoy,5,experience (generic term),undergo (generic term),see (generic term),go through (generic term),suffer (antonym),,
enjoy,5,delight,revel,,,,,
enlil,5,Enlil,En-lil,Semitic deity (generic term),,,,
ennui,5,boredom,tedium,dissatisfaction (generic term),,,,
enrol,5,enroll,inscribe,enter,recruit,register (generic term),,
ensis,5,Ensis,genus Ensis,mollusk genus (generic term),,,,
ensky,5,laud (generic term),extol (generic term),exalt (generic term),glorify (generic term),proclaim (generic term),,
ensue,5,result,prove (generic term),turn out (generic term),turn up (generic term),,,
enter,5,come in,get into,get in,go into,go in,move into,move in (related term)
enter,5,participate,drop out (antonym),,,,,
enter,5,enroll,inscribe,enrol,recruit,register (generic term),,
enter,5,figure,be (generic term),,,,,
enter,5,record,put down,save (generic term),preserve (generic term),,,
enter,5,insert,infix,introduce,attach (generic term),,,
enter,5,accede,succeed (generic term),come after (generic term),follow (generic term),take office (generic term),,
enter,5,embark,get down (generic term),begin (generic term),get (generic term),start out (generic term),start (generic term),set about (generic term)
entry,5,written record (generic term),written account (generic term),,,,,
entry,5,introduction,debut,first appearance,launching,unveiling,beginning (generic term),start (generic term)
entry,5,accounting entry,ledger entry,accounting (generic term),accounting system (generic term),method of accounting (generic term),,
entry,5,submission,message (generic term),content (generic term),subject matter (generic term),substance (generic term),,
entry,5,entrance,entranceway,entryway,entree,access (generic term),approach (generic term),
entry,5,entrance,entering,ingress,incoming,arrival (generic term),,
entsi,5,Enets,Entsi,Entsy,Yenisei,Yenisei-Samoyed,Yeniseian,Samoyedic (generic term)
entsy,5,Enets,Entsi,Entsy,Yenisei,Yenisei-Samoyed,Yeniseian,Samoyedic (generic term)
enuki,5,Anunnaki,Enuki,Semitic deity (generic term),,,,
envoi,5,envoy,stanza (generic term),,,,,
envoy,5,envoy extraordinary,minister plenipotentiary,diplomat (generic term),diplomatist (generic term),,,
envoy,5,emissary,representative (generic term),,,,,
envoy,5,envoi,stanza (generic term),,,,,
eolic,5,Aeolic,Eolic,Ancient Greek (generic term),,,,
eosin,5,bromeosin,fluorescein (generic term),fluoresceine (generic term),fluorescent dye (generic term),resorcinolphthalein (generic term),,
ephah,5,epha,dry unit (generic term),dry measure (generic term),,,,
epoch,5,era,time period (generic term),period of time (generic term),period (generic term),,,
epoch,5,date of reference,date (generic term),,,,,
epoch,5,geological time (generic term),geologic time (generic term),,,,,
epona,5,Epona,Celtic deity (generic term),,,,,
epoxy,5,epoxy resin,epoxy glue,synthetic resin (generic term),,,,
epoxy,5,glue (generic term),paste (generic term),,,,,
eprom,5,erasable programmable read-only memory,EPROM,read-only memory (generic term),ROM (generic term),read-only storage (generic term),fixed storage (generic term),
equal,5,equivalent (similar term),tantamount (similar term),balanced (similar term),close (similar term),tight (similar term),coequal (similar term),coordinate (similar term)
equal,5,like,equivalent,same,unlike (antonym),,,
equal,5,peer,match,compeer,person (generic term),individual (generic term),someone (generic term),somebody (generic term)
equal,5,be,differ (antonym),,,,,
equal,5,touch,rival,match,compete (generic term),vie (generic term),contend (generic term),
equal,5,match,equalize,equalise,equate,change (generic term),alter (generic term),modify (generic term)
equid,5,equine,odd-toed ungulate (generic term),perissodactyl (generic term),perissodactyl mammal (generic term),,,
equip,5,fit,fit out,outfit,supply (generic term),provide (generic term),render (generic term),furnish (generic term)
equip,5,enable (generic term),,,,,,
equus,5,Equus,genus Equus,mammal genus (generic term),,,,
erase,5,wipe out,kill (generic term),,,,,
erase,5,rub out,score out,efface,wipe off,delete (generic term),cancel (generic term),
erase,5,delete,take away (generic term),take out (generic term),record (antonym),,,
erato,5,Erato,Muse (generic term),,,,,
erect,5,vertical,upright,erectile (similar term),fastigiate (similar term),orthostatic (similar term),passant (similar term),rampant (similar term)
erect,5,tumid,hard (similar term),,,,,
erect,5,raise,rear,set up,put up,construct (generic term),build (generic term),make (generic term)
erect,5,rear,raise (generic term),lift (generic term),elevate (generic term),get up (generic term),bring up (generic term),
ergot,5,plant disease (generic term),,,,,,
ergot,5,Claviceps purpurea,fungus (generic term),,,,,
erica,5,true heath,heath (generic term),,,,,
ernst,5,Ernst,Max Ernst,painter (generic term),,,,
erode,5,gnaw,gnaw at,eat at,wear away,decay (generic term),crumble (generic term),delapidate (generic term)
erode,5,eat away,fret,damage (generic term),,,,
erose,5,jagged,jaggy,notched,toothed,rough (similar term),,
error,5,mistake,fault,nonaccomplishment (generic term),nonachievement (generic term),,,
error,5,erroneousness,incorrectness (generic term),wrongness (generic term),,,,
error,5,erroneous belief,misconception (generic term),,,,,
error,5,misplay,failure (generic term),,,,,
error,5,wrongdoing,evil (generic term),evilness (generic term),,,,
error,5,computer error,happening (generic term),occurrence (generic term),occurrent (generic term),natural event (generic term),,
error,5,mistake,misstatement (generic term),,,,,
eruca,5,Eruca,genus Eruca,dilleniid dicot genus (generic term),,,,
eruct,5,spew,spew out,discharge (generic term),expel (generic term),eject (generic term),release (generic term),
eruct,5,burp,bubble,belch,emit (generic term),breathe (generic term),pass off (generic term),
erupt,5,break out,begin (generic term),start (generic term),,,,
erupt,5,irrupt,flare up,flare,break open,burst out,intensify (generic term),deepen (generic term)
erupt,5,ignite,catch fire,take fire,combust,conflagrate,change state (generic term),turn (generic term)
erupt,5,come out,break through,push through,appear (generic term),,,
erupt,5,belch,extravasate,explode (generic term),burst (generic term),,,
erupt,5,break,burst,express emotion (generic term),express feelings (generic term),,,
erupt,5,appear (generic term),,,,,,
erupt,5,recrudesce,break out,afflict (generic term),trouble (generic term),ail (generic term),pain (generic term),
esaki,5,Esaki,Leo Esaki,physicist (generic term),,,,
esker,5,ridge (generic term),,,,,,
espoo,5,Espoo,city (generic term),metropolis (generic term),urban center (generic term),,,
essay,5,writing (generic term),written material (generic term),piece of writing (generic term),,,,
essay,5,attempt (generic term),effort (generic term),endeavor (generic term),endeavour (generic term),try (generic term),,
essay,5,try,seek,attempt,assay,act (generic term),move (generic term),try out (related term)
essay,5,test,prove,try,try out,examine,evaluate (generic term),pass judgment (generic term)
essen,5,Essen,city (generic term),metropolis (generic term),urban center (generic term),,,
essex,5,Essex,county (generic term),,,,,
ester,5,organic compound (generic term),,,,,,
et al,5,et al.,et alii,et aliae,et alia,,,
et al,5,et al.,et alibi,,,,,
ether,5,ethoxyethane,divinyl ether,vinyl ether,diethyl ether,ethyl ether,inhalation anesthetic (generic term),inhalation anaesthetic (generic term)
ether,5,quintessence,element (generic term),,,,,
ether,5,organic compound (generic term),,,,,,
ether,5,aether,medium (generic term),,,,,
ethic,5,moral principle,value-system,value orientation,principle (generic term),,,
ethic,5,ethical code,system (generic term),system of rules (generic term),,,,
ethos,5,attribute (generic term),,,,,,
ethyl,5,ethyl group,ethyl radical,alkyl (generic term),alkyl group (generic term),alkyl radical (generic term),,
etude,5,musical composition (generic term),opus (generic term),composition (generic term),piece (generic term),piece of music (generic term),,
euler,5,Euler,Leonhard Euler,mathematician (generic term),,,,
evade,5,hedge,fudge,put off,circumvent,parry,elude,skirt
evade,5,elude,bilk,escape (generic term),get away (generic term),break loose (generic term),,
evade,5,act (generic term),move (generic term),,,,,
evade,5,get off (generic term),get away (generic term),get by (generic term),get out (generic term),escape (generic term),,
evans,5,Evans,Herbert McLean Evans,anatomist (generic term),,,,
evans,5,Evans,Arthur Evans,Sir Arthur John Evans,archeologist (generic term),archaeologist (generic term),,
evenk,5,Tungus,Evenk,Tungusic (generic term),,,,
event,5,psychological feature (generic term),,,,,,
event,5,case,circumstance (generic term),,,,,
event,5,physical phenomenon (generic term),,,,,,
event,5,consequence,effect,outcome,result,issue,upshot,phenomenon (generic term)
evers,5,Evers,Medgar Evers,Medgar Wiley Evers,civil rights leader (generic term),civil rights worker (generic term),civil rights activist (generic term),
evert,5,Evert,Chris Evert,Chrissie Evert,Christine Marie Evert,tennis player (generic term),,
evert,5,turn (generic term),turn over (generic term),,,,,
every,5,all (similar term),,,,,,
every,5,all (similar term),,,,,,
evict,5,expel (generic term),eject (generic term),chuck out (generic term),exclude (generic term),throw out (generic term),kick out (generic term),turf out (generic term)
evict,5,force out,expel (generic term),eject (generic term),chuck out (generic term),exclude (generic term),throw out (generic term),kick out (generic term)
evoke,5,arouse,elicit,enkindle,kindle,fire,raise,provoke
evoke,5,provoke,call forth,kick up,cause (generic term),do (generic term),make (generic term),
evoke,5,educe,elicit,extract,draw out,interpret (generic term),construe (generic term),see (generic term)
evoke,5,raise,conjure,conjure up,invoke,stir,call down,arouse
evoke,5,suggest,paint a picture,express (generic term),show (generic term),evince (generic term),,
exact,5,direct (similar term),verbatim (similar term),literal (similar term),mathematical (similar term),perfect (similar term),photographic (similar term),rigorous (similar term)
exact,5,accurate,precise,correct (similar term),right (similar term),,,
exact,5,demand,claim (generic term),,,,,
exact,5,claim,take,necessitate (generic term),ask (generic term),postulate (generic term),need (generic term),require (generic term)
exalt,5,laud,extol,glorify,proclaim,praise (generic term),,
exalt,5,exhilarate,inebriate,thrill,beatify,elate (generic term),lift up (generic term),uplift (generic term)
exalt,5,inspire,animate,invigorate,enliven,stimulate (generic term),shake (generic term),shake up (generic term)
exalt,5,lift (generic term),raise (generic term),elevate (generic term),,,,
excel,5,stand out,surpass,,,,,
exert,5,exercise,use (generic term),utilize (generic term),utilise (generic term),apply (generic term),employ (generic term),
